web-scraper-order,web-scraper-start-url,Page,Element,Element-href,name,location,length,elevation,route,description,difficulty,rating,participants,tags
"1700576674-198","https://www.alltrails.com/switzerland/bern","","Malleray - Moron - Bellelay","https://www.alltrails.com/trail/switzerland/bern/malleray-moron-bellelay","Malleray - Moron - Bellelay","Malleray, Bern, Switzerland","15.1 km","765 m","Point to point","This path starts in Malleray and then leads relatively quickly up to the top of the Moron at 1336m and then further down in the forest over the summit of Les Craux at 1124m to Bellelay on the border of the Jura. A nice short tour through the hilly landscape in the Bernese Prealps, also suitable for fit children.","Hard","3.4","(4)","HikingRunningDog friendlyForestViewsWildflowers"
"1700576679-199","https://www.alltrails.com/switzerland/bern","","Schwarzchopf - Grauholzwald via Habstetten","https://www.alltrails.com/trail/switzerland/bern/schwarzchopf-grauholzwald-via-habstetten","Schwarzchopf - Grauholzwald via Habstetten","Bolligen, Bern, Switzerland","5.1 km","208 m","Loop","This route is ideal for MTB and starts in Bolligen on the outskirts of the village and then leads out into the Grauholz forest. Then it first follows some forest paths and then goes down via the Grauholtz - Freeride Trail. If the path is done on foot, consideration should be given to MTBs as it is a designated trail.","Moderate","3.3","(2)","Kid friendlyHikingMountain bikingCaveForestPartially pavedViewsWildlife"
"1700576682-200","https://www.alltrails.com/switzerland/bern","","Biel - Bözingen - Mett","https://www.alltrails.com/trail/switzerland/bern/biel-bozingen-mett","Biel - Bözingen - Mett","Biel/Bienne, Bern, Switzerland","9.8 km","158 m","Loop","The start of this great route is in Biel in the canton of Bern. The route goes from the well-known clock city, which is located on the beautiful Lake Biel, high to the districts of Bözingen and Mett. You can also stop at the Taubenloch before Bözingen. The path also crosses the river from the Schüss.","Moderate","3.7","(4)","HikingRoad bikingBike touringRunningRiverViewsWildflowers"
"1700576687-201","https://www.alltrails.com/switzerland/bern","","Engelhornhütte via Gschwandtenmaad","https://www.alltrails.com/trail/switzerland/bern/engelhornhutte-via-gschwandtenmaad","Engelhornhütte via Gschwandtenmaad","Schattenhalb, Bern, Switzerland","7.9 km","571 m","Out & back","","Hard","5.0","(2)","HikingBird watchingDog friendlyForestRiverViewsWildflowersWildlifeRockyNo shade"
"1700576692-202","https://www.alltrails.com/switzerland/bern","","Trans Swiss Trail - Étape 11 : Worb - Lützelflüh","https://www.alltrails.com/trail/switzerland/bern/trans-swiss-trail-etape-11-worb-lutzelfluh","Trans Swiss Trail - Étape 11 : Worb - Lützelflüh","Worb, Bern, Switzerland","18.0 km","679 m","Point to point","Discover the unique territory of the Emmental Valley with its ravines and hills and enjoy the view of the Alps and the Jura.","Hard","4.3","(3)","BackpackingCampingHikingRunningForestRiverViewsWildflowers"
"1700576697-203","https://www.alltrails.com/switzerland/bern","","Leiternweide Suspension Bridge Trail","https://www.alltrails.com/trail/switzerland/bern/leiternweide-hangebruckenweg","Leiternweide Suspension Bridge Trail","Weissenburg, Bern, Switzerland","6.1 km","414 m","Point to point","This short family-friendly hike is located inthe Niedersimmental and leads from Weissenburg to Oberwil. The return to the starting point is possible by train.

The path begins at the railway station in Weissenburg and leads through the forest past the former Grand Hotel Weissenburg Bad to the Leiternweide suspension bridge. This is 111m long and floats 111m over the gorge of the Morgetenbach. It finally gets to Oberwil by passing the cave path, where the Mamilchloch and Schnurenloch are located.","Hard","4.0","(1)","HikingBird watchingCaveDog friendlyForestPartially pavedRiverViewsWildflowersWildlifeNo shadeHistoric site"
"1700576701-204","https://www.alltrails.com/switzerland/bern","","Mettlenalp - Napf","https://www.alltrails.com/trail/switzerland/bern/mettlenalp-napf","Mettlenalp - Napf","Fankhaus, Bern, Switzerland","1.8 km","330 m","Point to point","","Moderate","5.0","(1)","HikingRunningForestViewsWildflowersWildlife"
"1700576709-205","https://www.alltrails.com/switzerland/bern","","Wabern bei Bern - Grünboden","https://www.alltrails.com/trail/switzerland/bern/wabern-bei-bern-grunboden","Wabern bei Bern - Grünboden","Wabern, Bern, Switzerland","1.3 km","131 m","Point to point","","Moderate","5.0","(2)","HikingRunningForestWildflowers"
"1700576713-206","https://www.alltrails.com/switzerland/bern","","Oberhofen - Heiligenschwendi - Schwändiblueme","https://www.alltrails.com/trail/switzerland/bern/oberhofen-heiligenschwendi-schwandiblueme","Oberhofen - Heiligenschwendi - Schwändiblueme","Oberhofen am Thunersee, Bern, Switzerland","12.4 km","841 m","Loop","This path begins in the center of Oberhofen and leads directly through the settlement. Then it follows small paths up to Heiligenschwendi and shortly afterwards it follows the forest up to the top of the Schwändiblueme at 1396m. Then it goes back down into the valley past some small streams and with great views of Lake Thun.

This trail can be a bit muddy after a few bad weather days.","Hard","4.0","(2)","HikingBird watchingRunningDog friendlyForestLakeRiverViewsWildflowersHistoric site"
"1700576716-207","https://www.alltrails.com/switzerland/bern","","Seiebergwald via Innerberg","https://www.alltrails.com/trail/switzerland/bern/seiebergwald-uber-innerberg","Seiebergwald via Innerberg","Innerberg, Bern, Switzerland","10.1 km","308 m","Loop","Discover this circular hike in the Bernese Mittelland near Wohlen, which is also suitable for runners and horse riders. The path leads from Innerberg via Gumme and the Usserberg Forest to Wahlendorf and via the Seieberg Forest back to Innerberg. A hike in winter is particularly recommended, as the sun lets the beautiful forest shine.","Moderate","3.7","(4)","HikingRunningForestViewsWildflowers"
"1700576729-208","https://www.alltrails.com/switzerland/bern","","Rossschopf - Ankehubel","https://www.alltrails.com/trail/switzerland/bern/rossschopf-ankehubel","Rossschopf - Ankehubel","Wolfisberg, Bern, Switzerland","4.8 km","272 m","Loop","Nice tour in the region of Wolfisberg. The Rossschopf is 1647 m above sea level. M. and the Ankehubel is at 1203 m above sea level. M. Nice tour in nature with a lot of forest.","Moderate","4.5","(2)","HikingWalkingRunningForestRiverViewsWildflowers"
"1700576733-209","https://www.alltrails.com/switzerland/bern","","Spiez - Wimmis","https://www.alltrails.com/trail/switzerland/bern/spiez-wimmis","Spiez - Wimmis","Spiez, Bern, Switzerland","6.9 km","196 m","Point to point","This short walk starts in Spiez on the shore of Lake Thun, right by the harbour. The path soon passes some interesting sights and then continues through the center of Spiez towards the river Kander and through the cultural landscape in the region. You can then reach Wimmis after a short time.","Moderate","4.5","(2)","WalkingRunningForestViewsWildlifeHistoric site"
"1700576737-210","https://www.alltrails.com/switzerland/bern","","Berner Voralpenweg - Stage 4: Oey - Spiez","https://www.alltrails.com/trail/switzerland/bern/berner-voralpenweg-etape-4-oey-spiez","Berner Voralpenweg - Stage 4: Oey - Spiez","Diemtigtal Nature Park","10.6 km","170 m","Point to point","The fourth and last stage of path number 37 brings you to Spiez. The path starts in Oey and goes along the Simme. in Wimmis you can discover the castle and palace. The path to the Spiez Bay with the castle is dominated by the Niesen, and a dip in the lido on Lake Thun is tempting.","Moderate","4.6","(2)","BackpackingCampingHikingRunningForestRiverViewsWildflowers"
"1700576742-211","https://www.alltrails.com/switzerland/bern","","Bächlischwendi - Axalp - Chrudmettli - Hinterburgseeli","https://www.alltrails.com/trail/switzerland/bern/bachlischwendi-axalp-chrudmettli-hinterburgseeli","Bächlischwendi - Axalp - Chrudmettli - Hinterburgseeli","Brienz, Bern, Switzerland","16.7 km","1,266 m","Loop","The trail begins in Bächlschwendi at the car park right at the foot of the Axalp material cable car. The trail then leads steadily upwards through the forest up to Axalp. Then via Chruttmetti it just goes there to the Hinterburgseeli. After a relaxing break on the banks of the idyllic lake, follow the trail back down into the valley.","Hard","5.0","(1)","HikingBird watchingRunningDog friendlyForestLakePartially pavedViewsWildflowersWildlifeNo shade"
"1700576746-212","https://www.alltrails.com/switzerland/bern","","Napf - Eyflue - Stächelegg Circular","https://www.alltrails.com/trail/switzerland/bern/napf-eyflue-stachelegg-rundweg","Napf - Eyflue - Stächelegg Circular","Fankhaus, Bern, Switzerland","9.8 km","581 m","Loop","This circular route begins at the mountain station of the Mettlenalp - Napf cable car and then leads along the foot of the Grüeblihangst mountain through the Napfflue area via the Eyflue past a mountain restaurant. Then it goes on through Hinter Ey and Mittler Ey through the Anziwald forest and then on over the Hapfichnubel via Stächelegg back to the mountain station.

It is recommended to check the website beforehand as there may be fees or opening hours: https://www.bergbahnen.org/en/database/ropeway/2658/","Moderate","4.0","(2)","Kid friendlyHikingRunningForestRiverViewsWildflowersFee"
"1700576751-213","https://www.alltrails.com/switzerland/bern","","Ruine Klosterhubel - Reibewald via Safern","https://www.alltrails.com/trail/switzerland/bern/ruine-klosterhubel-reibewald-via-safern","Ruine Klosterhubel - Reibewald via Safern","Safnern, Bern, Switzerland","4.7 km","103 m","Loop","A leisurely circular hike north of Safer and Meinisberg in the Bernese Seeland. The trail starts outside of Safer and first leads to the ruins of Klosterhubel. This is the name of the former Büttenburg, which was probably built in the 11th or 12th century. It continues through the idyllic Burgwald and Reibewald to the Waldhaus of Meinisberg and back through beautiful fields.","Easy","5.0","(3)","Dogs on leashKid friendlyHikingWalkingRunningForestPartially pavedViewsWildflowersHistoric site"
"1700576755-214","https://www.alltrails.com/switzerland/bern","","Auswil - Walterswil - Wynigen - Lueg - Schwarzenbach","https://www.alltrails.com/trail/switzerland/bern/auswil-walterswil-wynigen-lueg-schwarzenbach","Auswil - Walterswil - Wynigen - Lueg - Schwarzenbach","Auswil, Bern, Switzerland","46.7 km","1,602 m","Loop","The Oberaargau, a region in the Swiss plateau, stretches out in the middle of an intact landscape with meadows, fields, streams and extensive forests. On our ride we enjoy wonderful views of the Jura and the Bernese Alps and ride up and down through scattered small hamlets, cool forests, over lovely hills and flowery meadows.","Moderate","4.4","(3)","HikingMountain bikingBike touringRunningForestPartially pavedRiverViewsWildflowersWildlife"
"1700576759-215","https://www.alltrails.com/switzerland/bern","","Faltschen - Engelhorn - Dreispitz","https://www.alltrails.com/trail/switzerland/bern/faltschen-engelhorn-dreispitz","Faltschen - Engelhorn - Dreispitz","Reichenbach im Kandertal, Bern, Switzerland","26.7 km","2,082 m","Loop","","Hard","4.4","(2)","HikingSnowshoeingBird watchingRunningForestLakeRiverViewsWildflowersWildlife"
"1700576765-216","https://www.alltrails.com/switzerland/bern","","Wasserscheide - Selibüelsattel - Horbüelpass","https://www.alltrails.com/trail/switzerland/bern/wasserscheide-selibuelsattel-horbuelpass","Wasserscheide - Selibüelsattel - Horbüelpass","Blumenstein, Bern, Switzerland","14.3 km","374 m","Out & back","The trail begins in Wasserscheide at the public car park and leads through the forest at the foot of the Selibüelsattel pass at 1636 m. The path leads close to the panoramic path on a more quiet path through nature. After about seven kilometers the trail reaches the Pfyffe peak and then turns again. Shortly after one covers a short stretch on the road and then back again.","Moderate","5.0","(1)","Kid friendlyHikingDog friendlyForestRiverViews"
"1700576772-217","https://www.alltrails.com/switzerland/bern","","Rohr - Chueretshof - Neuer Bann","https://www.alltrails.com/trail/switzerland/bern/rohr-chueretshof-neuer-bann","Rohr - Chueretshof - Neuer Bann","Lengnau, Bern, Switzerland","6.9 km","250 m","Loop","","Moderate","5.0","(4)","Kid friendlyHikingWalkingRunningForestLakeViewsWildflowersWildlife"
"1700576776-218","https://www.alltrails.com/switzerland/bern","","Eriswil - Schilt - Firtzenberg Circular","https://www.alltrails.com/trail/switzerland/bern/eriswil-schilt-firtzenberg-rundweg","Eriswil - Schilt - Firtzenberg Circular","Eriswil, Bern, Switzerland","22.0 km","797 m","Loop","This tour leads from Eriswil through the woods to Fritzenberg and back to Eriswil. One starts at a parking lot in Eriswil and hikes through the forests of Fluewald and the Sumiswald. The paths leads to the summit Hochschwendeli and follows the paved road down to the Hornbach river. Then you walk to the river and a few kilometers before the end the path crosses the peak Fritzenberg and the Fritzenhaus restaurant.","Moderate","5.0","(2)","Mountain bikingBike touringForestPartially pavedRiverViewsWildflowers"
"1700576781-219","https://www.alltrails.com/switzerland/bern","","Moosegg - Geissrugge","https://www.alltrails.com/trail/switzerland/bern/moosegg-geissrugge","Moosegg - Geissrugge","Emmenmatt, Bern, Switzerland","13.7 km","445 m","Loop","The trail begins","Moderate","4.0","(3)","Kid friendlyHikingRunningDog friendlyForestPartially pavedWildflowers"
"1700576784-220","https://www.alltrails.com/switzerland/bern","","Blümlisalp - Wildi Frau","https://www.alltrails.com/trail/switzerland/bern/blumlisalp-wildi-frau","Blümlisalp - Wildi Frau","Kandersteg, Bern, Switzerland","4.5 km","374 m","Out & back","","Hard","5.0","(1)","BackpackingCampingHikingViewsSnow"
"1700576788-221","https://www.alltrails.com/switzerland/bern","","Gurnigel - Seliberg","https://www.alltrails.com/trail/switzerland/bern/gurnigel-seliberg","Gurnigel - Seliberg","Gantrisch Nature Park","5.6 km","258 m","Loop","This tour begins at the parking lot along the Gurnigel Passhöhenstraße road and then leads directly from the restaurant into the forest. The path leads along small paths up to the Seliberg peak and then further on to the Selibuelsattel crest, as the hike goes through the Seibüel area. About halfway it passes another mountain inn where one can get some refreshments.","Moderate","4.0","(1)","Kid friendlyWalkingRunningDog friendlyForestRiverViewsWildflowers"
"1700576791-222","https://www.alltrails.com/switzerland/bern","","Ostring - Ostermunidgeberg","https://www.alltrails.com/trail/switzerland/bern/ostring-ostermunidgeberg","Ostring - Ostermunidgeberg","Bern, Bern, Switzerland","6.9 km","255 m","Out & back","The trail starts at the Ostring train station and then leads directly through this suburb of Bern. Passing the sculpture park and the Rudolf Steiner School, you follow under the railway and finally into the forest. After about another kilometer you reach the top of the Ostermundigeberg at 732m. Up there you can also visit the Kasthofer memorial. In memory of this outstanding forest scientist and professor of silviculture at the University of Bern.","Moderate","3.9","(3)","Dogs on leashKid friendlyWalkingRunningForestPartially pavedHistoric site"
"1700576795-223","https://www.alltrails.com/switzerland/bern","","Köniz - Rubigen - Muri bei Bern","https://www.alltrails.com/trail/switzerland/bern/koniz-rubigen-muri-bei-bern","Köniz - Rubigen - Muri bei Bern","Köniz, Bern, Switzerland","29.9 km","466 m","Loop","","Moderate","4.4","(2)","Road bikingBike touringForestPavedRiverViewsWildflowersHistoric site"
"1700576799-224","https://www.alltrails.com/switzerland/bern","","Bern - Wohlen bei Bern via Bremgartenwald","https://www.alltrails.com/trail/switzerland/bern/bern-wohlen-bei-bern-via-bremgartenwald","Bern - Wohlen bei Bern via Bremgartenwald","Bremgartenwald","15.8 km","364 m","Loop","This trail leads from the center of Bern past historical places through the Bremgarten Forest until one reaches the Aare River. The trail continues over the Stägmattsteg to Hinterkappelen and then leads into the forest near Wöhlen near Bern. After a circular tour in the forest it leads back to the starting point. But before that, it is very much recommended to take a break on the banks of the Aare River.","Moderate","4.7","(2)","HikingMountain bikingRunningDog friendlyForestPartially pavedRiverViewsWildflowers"
"1700576803-225","https://www.alltrails.com/switzerland/bern","","Via Alpina Red Trail, Segment 103: Lauenen - Gsteig","https://www.alltrails.com/trail/switzerland/bern/via-alpina-roter-weg-etappe-103-lauenen-gsteig","Via Alpina Red Trail, Segment 103: Lauenen - Gsteig","Lauenen, Bern, Switzerland","7.2 km","452 m","Point to point","Leave Lauenen via the main road to the south, soon branching off in a southwesterly direction to the Chrine pass. After the pass, the trail leads through the Saaligraben rift down to Gsteig, the stage destination.

The overview list of all segments of the Red Trail can be found here: https://www.alltrails.com/lists/via-alpina-red-trail","Moderate","5.0","(2)","BackpackingCampingHikingRunningForestRiverViewsWildflowers"
"1700576808-226","https://www.alltrails.com/switzerland/bern","","Boenigen - Saxeten","https://www.alltrails.com/trail/switzerland/bern/boenigen-saxeten","Boenigen - Saxeten","Bönigen, Bern, Switzerland","19.6 km","754 m","Out & back","","Hard","4.9","(3)","HikingWalkingBird watchingRunningForestLakeRiverViewsWildlife"
"1700576811-227","https://www.alltrails.com/switzerland/bern","","Kehrsatz - Köniz - Herzwil - Niederwangen","https://www.alltrails.com/trail/switzerland/bern/kehrsatz-koniz-herzwil-niederwangen","Kehrsatz - Köniz - Herzwil - Niederwangen","Kehrsatz, Bern, Switzerland","10.5 km","166 m","Point to point","This path starts in Kehrsatz and goes in the direction of Köniz on a beautiful and old bike route. Via Herzwil and Niederwangen the route arrives in Bern on Morgenstrasse and can then continue to the city center of Bern, capital of the canton of the same name. The path in Kehrsatz is relatively steep downhill, otherwise the path is flat but with a lot of forest and nature.","Moderate","4.0","(1)","HikingRoad bikingBike touringRunningForestViewsWildflowers"
"1700576816-228","https://www.alltrails.com/switzerland/bern","","Meielisalp - Brunnialp","https://www.alltrails.com/trail/switzerland/bern/meielisalp-brunnialp","Meielisalp - Brunnialp","Leissigen, Bern, Switzerland","12.4 km","940 m","Loop","","Hard","4.7","(3)","BackpackingHikingBird watchingDog friendlyForestRiverViewsWildflowers"
"1700576822-229","https://www.alltrails.com/switzerland/bern","","Bielersee Heidenweg : Gampelen - St. Petersinsel","https://www.alltrails.com/trail/switzerland/bern/bielersee-heidenweg-gampelen-st-petersinsel","Bielersee Heidenweg : Gampelen - St. Petersinsel","Gampelen, Bern, Switzerland","12.9 km","332 m","Point to point","The hike over the Jolimont and Heidenweg offers a variety of attractions. Colorful mixed forests, prehistoric places of worship and spectacular viewpoints. This hiking trail is marked with the number 432 on the yellow hiking signs and it is very well marked. Enjoy unique moments around the lake.","Moderate","3.9","(2)","HikingRunningForestLakeRiverViewsWildflowersHistoric site"
"1700576826-230","https://www.alltrails.com/switzerland/bern","","Bern - Bremgarten via Aare","https://www.alltrails.com/trail/switzerland/bern/bern-bremgarten-via-aare","Bern - Bremgarten via Aare","Bern, Bern, Switzerland","13.5 km","280 m","Point to point","Bern is the capital of Switzerland and the canton of Bern and is a very popular destination with a lot of culture and activities. In summer it is a highlight to go down the Aare river, be it with the paddle, kayak or with small inflatable boats. When the sun is shining there are many people in the water for a great moment in the Aare.","Moderate","4.0","(1)","Paddle sportsForestRiverViewsWildflowersHistoric site"
"1700576831-231","https://www.alltrails.com/switzerland/bern","","Wangen an der Aare - Wiedlisbach - Rumisberg - Hellchöpfli","https://www.alltrails.com/trail/switzerland/bern/wangen-an-der-aare-wiedlisbach-rumisberg-hellchopfli","Wangen an der Aare - Wiedlisbach - Rumisberg - Hellchöpfli","Wangen an der Aare, Bern, Switzerland","8.9 km","825 m","Point to point","Höllchöpfli is also called Hellchöpfli or Hällchöpfli and is 1231 m above sea level. Sea and is very popular in summer and winter.","Hard","5.0","(3)","HikingRunningForestRiverViewsWildflowersHistoric site"
"1700576835-232","https://www.alltrails.com/switzerland/bern","","Wasserscheide - Alp Oberwirtneren","https://www.alltrails.com/trail/switzerland/bern/wasserscheide-alp-oberwirtneren","Wasserscheide - Alp Oberwirtneren","Blumenstein, Bern, Switzerland","5.6 km","248 m","Out & back","The trail begins at the Wasserscheide car park and leads through the open natural landscape to the Gurbe waterfall. Then a few kilometers later one already reaches Alp Oberwirtneren and after a break on site, it is possible to return the same way via Tischingelflue at 1668m. Children can also enjoy themselves here.

It is a terrain, partly rocky, without much shelter, where you are exposed to the sun, especially in summer. So please don't forget to bring adequate sun protection and water.","Moderate","4.4","(2)","Kid friendlyHikingBird watchingRunningDog friendlyForestRiverViewsWaterfall"
"1700576842-233","https://www.alltrails.com/switzerland/bern","","Biel - Magglingen - Kurhausweg","https://www.alltrails.com/trail/switzerland/bern/biel-magglingen-kurhausweg","Biel - Magglingen - Kurhausweg","Chasseral Regional Park","23.2 km","946 m","Loop","The trail begins at Biel/Bienne train station and runs along the shore of Lake Biel. After just a few kilometers it goes into the forest around Vingelz and then through Les Pres de Macolin and on through Magglingen. You get a great insight into the Chasseral Regional Park and can relax and enjoy yourself.","Hard","5.0","(1)","HikingMountain bikingBird watchingBeachDog friendlyForestLakePartially pavedRiverViewsWildflowersWildlifeHistoric site"
"1700576848-234","https://www.alltrails.com/switzerland/bern","","Sunnbüel - Untere Tatelishorn","https://www.alltrails.com/trail/switzerland/bern/sunnbuel-untere-tatelishorn","Sunnbüel - Untere Tatelishorn","Kandersteg, Bern, Switzerland","11.4 km","701 m","Out & back","This great summit hike is located in the Kandertal and begins at the mountain station of the Sunnbüel cable car (1938 m), which can be reached from Kandersteg. First the path leads past the Altelshütte (1933 m) and through a lush green valley. After about 2.5 km, it then climbs steeply to the left, through a wild mountain landscape to the Untere Tatelishorn (2497 m). This offers a fantastic view of the Gastere and Kandertal. The way back is the same.

Further information, operating times and prices for the Sunnbüel cable car can be found here:
https://sunnbuel.ch/de/sommerfahrplan/","Hard","5.0","(2)","Dogs on leashHikingBird watchingCaveForestRiverViewsWildflowersWildlifeRockySnowNo shadeFee"
"1700576853-235","https://www.alltrails.com/switzerland/bern","","Brienz - Grimsel - Oberaarsee","https://www.alltrails.com/trail/switzerland/bern/brienz-grimsel-oberaarsee","Brienz - Grimsel - Oberaarsee","Brienz, Bern, Switzerland","52.6 km","2,246 m","Point to point","This route starts in Brienz at the parking lot Löwenplatz directly on the shore of Lake Brienz in the Bernese Oberland.

The path follows the river Aare from a few settlements through the Haslital valley up to higher levels. On a serpentine road it continues up to the Grimsel pass past some small lakes such as the Räterichsbodensee, Grimselsee and the Totesee. As a bonus, there is the Oberaarsee as a destination with a great panorama of the surrounding mountain peaks. A really great view from the valley up.","Hard","5.0","(1)","Road bikingBike touringBird watchingBeachForestLakePavedRiverViewsWildflowersWildlifeNo shadeHistoric siteNo dogs"
"1700576857-236","https://www.alltrails.com/switzerland/bern","","Vodersass - Leimere - Waldegg","https://www.alltrails.com/trail/switzerland/bern/vodersass-leimere-waldegg","Vodersass - Leimere - Waldegg","Beatenberg, Bern, Switzerland","10.8 km","378 m","Point to point","","Moderate","4.4","(2)","HikingRunningForestRiverViewsWildflowers"
"1700576861-237","https://www.alltrails.com/switzerland/bern","","Bern - Guggisberg - Schwarzenburg","https://www.alltrails.com/trail/switzerland/bern/bern-guggisberg-schwarzenburg","Bern - Guggisberg - Schwarzenburg","Gantrisch Nature Park","82.1 km","2,402 m","Loop","This tour invites you to explore the Gantrisch Nature Park by bike.
The starting point is in Bern
Wabern, and from there it goes via Riggisberg and over the Gurnigelpass at 1579m to the Untere Gantrischhütte at 1510m. The path then leads via Guggisberg to Schwarzenburg and then back to Bern via paved roads.","Moderate","3.4","(6)","Road bikingBike touringDog friendlyForestPartially pavedRiverViewsWildflowers"
"1700576865-238","https://www.alltrails.com/switzerland/bern","","Biel | Bienne - Täätsch","https://www.alltrails.com/trail/switzerland/bern/biel-bienne-taatsch","Biel | Bienne - Täätsch","Biel/Bienne, Bern, Switzerland","18.7 km","754 m","Loop","","Moderate","4.1","(2)","Mountain bikingBike touringBird watchingForestLakeRiverViewsWildflowersWildlifeHistoric site"
"1700576869-239","https://www.alltrails.com/switzerland/bern","","Panorama Circular Thunersee, Segment 3: Interlaken - Spiez","https://www.alltrails.com/trail/switzerland/bern/panorama-rundweg-thunersee-etappe-3-interlaken-spiez","Panorama Circular Thunersee, Segment 3: Interlaken - Spiez","Interlaken, Bern, Switzerland","20.9 km","911 m","Point to point","This third stage goes along the Thunersse via Därligen to the Meielisalp above Leissigen. The suspension bridge over the Spissibach provides an enchanting panorama over Krattigen and Lake Thun. At Krattigen it goes past the Seeholzwald and then you reach Spiez after about 20 kilometers.","Hard","5.0","(1)","Dogs on leashBackpackingCampingHikingRunningForestLakePartially pavedRiverViewsWildflowers"
"1700576875-240","https://www.alltrails.com/switzerland/bern","","Engstligenalp - Unter dem Birg","https://www.alltrails.com/trail/switzerland/bern/engstligenalp-unter-dem-birg","Engstligenalp - Unter dem Birg","Adelboden, Bern, Switzerland","4.5 km","152 m","Point to point","The path begins at the mountain station of the Globi cable car and is suitable for a trip with the whole family.
It goes through the open terrain at the foot of the Bündihore at 2038m over the area and down to Unter dem Birg at 1399m. Along the way the path crosses the Artelebach river where one can relax.

It is a terrain, partly rocky, without much shelter, where you are exposed to the sun, especially in summer. So please don't forget to bring adequate sun protection and water.","Easy","4.0","(1)","Kid friendlyWalkingRunningDog friendlyForestRiverViewsWildflowersScramble"
"1700576879-241","https://www.alltrails.com/switzerland/bern","","Burg Oltigen - Wehrbrücke - Stausee Niederried","https://www.alltrails.com/trail/switzerland/bern/burg-oltigen-wehrbrucke-stausee-niederried","Burg Oltigen - Wehrbrücke - Stausee Niederried","Detligen, Bern, Switzerland","13.8 km","346 m","Loop","This great circular hike is located in the Bernese Mittelland near Lake Wohlen. It leads along the banks of the Aare to the Wehrbrücke in Wickacker and on the other side of the river back to the Niederried reservoir. On the way you pass Oltigen Castle and the Güggelisloch.","Moderate","5.0","(1)","HikingBird watchingRunningBeachCaveForestLakeRiverViewsWildflowersHistoric site"
"1700576885-242","https://www.alltrails.com/switzerland/bern","","Schwarzchopf - Sädelbach","https://www.alltrails.com/trail/switzerland/bern/schwarzchopf-sadelbach","Schwarzchopf - Sädelbach","Krauchthal, Bern, Switzerland","7.6 km","288 m","Loop","This circular route starts at Krauchthalstraße and leads directly into the forest. At the beginning you pass the Joggelisgrabe and then cross the area around the Sädelbach and the Sädelbachhüttli. Until you then reach the goal of this tour - the Schwarzchopf and on the way before and after you can always find pleasant places to take a break.","Moderate","3.9","(3)","Kid friendlyWalkingRunningForestRiver"
"1700576890-243","https://www.alltrails.com/switzerland/bern","","Hundsrügg - Schiltenegg via Zitbödeli","https://www.alltrails.com/trail/switzerland/bern/hundsrugg-schiltenegg-via-zitbodeli","Hundsrügg - Schiltenegg via Zitbödeli","Abländschen, Bern, Switzerland","11.6 km","931 m","Point to point","","Hard","4.6","(2)","HikingRunningForestViewsWildflowers"
"1700576895-244","https://www.alltrails.com/switzerland/bern","","Reconvilier - Montoz - Bévilard","https://www.alltrails.com/trail/switzerland/bern/reconvilier-montoz-bevilard","Reconvilier - Montoz - Bévilard","Reconvilier, Bern, Switzerland","25.7 km","892 m","Loop","This great circular hike is located in the Vallée de Tavannes in the canton of Bern. It starts in Reconvilier and leads over the Col de Pierre Pertuis (827 m) through a beautiful landscape of idyllic forests and meadows. There are also several places to stop and stay overnight.","Hard","4.3","(2)","BackpackingHikingMountain bikingRunningForestRiverViewsWildflowers"
"1700576900-245","https://www.alltrails.com/switzerland/bern","","Lyss Circular","https://www.alltrails.com/trail/switzerland/bern/lyss-rundweg","Lyss Circular","Lyss, Bern, Switzerland","86.9 km","1,562 m","Loop","This circular route begins in Lyss at the train station and leads through a number of villages and smaller towns in this Bernese cultural landscape. It always comes through small wooded areas and also close to the city limits of Bern, but it remains to lead through nature. A nice varied bike tour without many climbs.","Moderate","3.6","(5)","Road bikingBike touringForestRiverViewsWildflowers"
"1700576903-246","https://www.alltrails.com/switzerland/bern","","Bällenhöchst via Isenfluh - Sulsseewli","https://www.alltrails.com/trail/switzerland/bern/ballenhochst-via-isenfluh-sulsseewli","Bällenhöchst via Isenfluh - Sulsseewli","Isenfluh, Bern, Switzerland","14.8 km","1,262 m","Out & back","This beautiful hiking trail is located in the canton of Bern. It begins in Isenfluh and leads to the summit of the Bällenhöchst at 2095 meters. Once at the top, brilliant views of the breathtaking Lauterbrunnen Valley, Lake Thun, Lake Brienz, and the stunning Jungfrau region await. The path is not very technical but relatively steep.","Hard","5.0","(1)","HikingBird watchingRunningForestLakeRiverViewsWildflowersWildlifeNo shade"
"1700576907-247","https://www.alltrails.com/switzerland/bern","","Grindelwald - Stählisboden - Grosse Scheidegg","https://www.alltrails.com/trail/switzerland/bern/grindelwald-stahisboden-grosse-scheidegg","Grindelwald - Stählisboden - Grosse Scheidegg","Grindelwald, Bern, Switzerland","18.2 km","1,071 m","Loop","This is the ultimate trail in the Bernese Alps. The start is in Grindelwald. A very animated village where you can go to the Kleine or Grosse Scheidegg and with a great view of the Eiger and Mönch. This route goes via Stählisboden to the Grosse Scheidegg pass. This pass is located in the valley of the Black Lütschine and is 1962 meters above sea level.","Hard","3.4","(2)","HikingRunningForestRiverViewsWildflowers"
